Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Isolation Forest,0.8585619458561946,0.8536702783670278,0.8765432098765432,0.8649557036702784,0.9230769230769231,0.9652173913043478
Random Forest,0.8698235160681814,0.972207060181155,0.8104536249857969,0.8833758865248227,0.9579706063169974,0.9744066876956236
AdaBoost,0.8713471437243498,0.9726027397260274,0.813650730724212,0.8860896303779112,0.964943531880739,0.9800557559101207
XGBoost,0.8703873759754944,0.9694008988764045,0.8137654093118304,0.8844134761677725,0.960405231849926,0.9746421354042024
IF + XGBoost (Hybrid),0.8741669988023423,0.9681388239805727,0.8235693584035912,0.8897173561160278,0.9727384418001517,0.9817552937644145
