Model,Accuracy (Test),Precision (Test),Recall (Test),F1-Score (Test),ROC-AUC (Test),PR-AUC (Test),Accuracy (Unseen),Precision (Unseen),Recall (Unseen),F1-Score (Unseen),ROC-AUC (Unseen),PR-AUC (Unseen)
Isolation Forest,0.6258,0.6205,0.6475,0.6337,0.6666,0.5885,0.6222,0.6199,0.6320,0.6259,0.6658,0.5886
Random Forest,0.9952,0.9950,0.9955,0.9953,0.9998,0.9998,0.9948,0.9930,0.9965,0.9948,1.0000,1.0000
AdaBoost,0.9892,0.9890,0.9895,0.9893,0.9991,0.9991,0.9888,0.9890,0.9885,0.9887,0.9992,0.9991
XGBoost,0.9960,0.9965,0.9955,0.9960,0.9998,0.9998,0.9970,0.9965,0.9975,0.9970,1.0000,1.0000
IF + XGBoost (Hybrid),0.9945,0.9950,0.9940,0.9945,0.9997,0.9997,0.9950,0.9940,0.9960,0.9950,0.9999,0.9999
